gene_id,gene_name,count
YDL248W,COS7,293
YDL247W-A,YDL247W-A,0
YDL247W,MPH2,1
YDL246C,SOR2,0
YDL245C,HXT15,38
YDL244W,THI13,53
YDL243C,AAD4,304
YDL242W,YDL242W,122
YDL241W,YDL241W,591
YDL240C-A,YDL240C-A,6
YDL240W,LRG1,2307
YDL239C,ADY3,231
YDL238C,GUD1,445
YDL237W,AIM6,4614
YDL236W,PHO13,3326
YDL235C,YPD1,2866
YDL234C,GYP7,1754
YDL233W,YDL233W,1023
YDL232W,OST4,538
YDL231C,BRE4,2722
YDL230W,PTP1,872
YDL229W,SSB1,124903
YDL228C,YDL228C,23
YDL227C,HO,2743
YDL226C,GCS1,3917
YDL225W,SHS1,3016
YDL224C,WHI4,5321
YDL223C,HBT1,743
YDL222C,FMP45,228
YDL221W,YDL221W,44
YDL220C,CDC13,1567
YDL219W,DTD1,832
YDL218W,YDL218W,193
YDL217C,TIM22,1009
YDL216C,RRI1,226
YDL215C,GDH2,2043
YDL214C,PRR2,229
YDL213C,NOP6,2403
YDL212W,SHR3,8069
YDL211C,YDL211C,928
tG(GCC)D1,tG(GCC)D1,2
YDL210W,UGA4,186
YDL209C,CWC2,479
YDL208W,NHP2,8117
YDL207W,GLE1,1710
YDL206W,YDL206W,833
YDL205C,HEM3,4048
YDL204W,RTN2,619
YDL203C,ACK1,2624
YDL202W,MRPL11,1316
YDL201W,TRM8,2904
YDL200C,MGT1,292
YDL199C,YDL199C,534
YDL198C,GGC1,6302
YDL197C,ASF2,1280
YDL196W,YDL196W,35
YDL195W,SEC31,42390
YDL194W,SNF3,727
YDL193W,NUS1,2060
YDL192W,ARF1,22958
YDL191W,RPL35A,24356
YDL190C,UFD2,5925
YDL189W,RBS1,2368
YDL188C,PPH22,3843
YDL187C,YDL187C,1
YDL186W,YDL186W,81
YDL185C-A,YDL185C-A,35
YDL185W,VMA1,59984
YDL184C,RPL41A,988
YDL183C,YDL183C,243
YDL182W,LYS20,6519
YDL181W,INH1,1427
YDL180W,YDL180W,2197
YDL179W,PCL9,2467
YDL178W,DLD2,1853
YDL177C,YDL177C,391
YDL176W,YDL176W,661
YDL175C,AIR2,920
YDL174C,DLD1,5106
YDL173W,PAR32,1225
YDL172C,YDL172C,2
YDL171C,GLT1,49795
YDL170W,UGA3,1363
YDL169C,UGX2,53
YDL168W,SFA1,2436
YDL167C,NRP1,3818
YDL166C,FAP7,431
YDL165W,CDC36,1191
YDL164C,CDC9,1834
YDL163W,YDL163W,0
YDL162C,YDL162C,8
YDL161W,ENT1,1987
YDL160C-A,YDL160C-A,172
YDL160C,DHH1,7831
YDL159W-A,YDL159W-A,12
YDL159W,STE7,1037
YDL159C-B,YDL159C-B,0
YDL158C,YDL158C,175
YDL157C,YDL157C,1272
YDL156W,YDL156W,739
YDL155W,CLB3,2402
YDL154W,MSH5,204
YDL153C,SAS10,1056
YDL152W,YDL152W,0
YDL151C,BUD30,0
YDL150W,RPC53,1205
YDL149W,ATG9,573
YDL148C,NOP14,2972
YDL147W,RPN5,4732
YDL146W,LDB17,710
YDL145C,COP1,32719
YDL144C,YDL144C,3378
YDL143W,CCT4,8263
YDL142C,CRD1,774
YDL141W,BPL1,3908
YDL140C,RPO21,38638
YDL139C,SCM3,233
YDL138W,RGT2,2435
YDL137W,ARF2,5359
YDL136W,RPL35B,13364
YDL135C,RDI1,2194
YDL134C,PPH21,3986
YDL133C-A,RPL41B,366
YDL133W,YDL133W,1012
YDL132W,CDC53,6218
YDL131W,LYS21,8547
YDL130W-A,STF1,198
YDL130W,RPP1B,9618
YDL129W,YDL129W,531
YDL128W,VCX1,5811
YDL127W,PCL2,1498
YDL126C,CDC48,30720
YDL125C,HNT1,2680
YDL124W,YDL124W,4866
YDL123W,SNA4,519
YDL122W,UBP1,4342
YDL121C,YDL121C,650
YDL120W,YFH1,1594
YDL119C,YDL119C,304
YDL118W,YDL118W,5
YDL117W,CYK3,3981
YDL116W,NUP84,3337
YDL115C,IWR1,289
YDL114W-A,YDL114W-A,0
YDL114W,YDL114W,13
YDL113C,ATG20,833
YDL112W,TRM3,9519
YDL111C,RRP42,3811
YDL110C,TMA17,711
YDL109C,YDL109C,819
YDL108W,KIN28,1012
YDL107W,MSS2,217
YDL106C,PHO2,1644
YDL105W,NSE4,569
YDL104C,QRI7,449
YDL103C,QRI1,3333
YDL102W,POL3,3182
YDL101C,DUN1,1498
YDL100C,GET3,15354
YDL099W,BUG1,782
YDL098C,SNU23,285
YDL097C,RPN6,9574
YDL096C,OPI6,0
YDL095W,PMT1,23252
YDL094C,YDL094C,61
YDL093W,PMT5,2066
YDL092W,SRP14,1382
YDL091C,UBX3,949
YDL090C,RAM1,1494
YDL089W,NUR1,1001
YDL088C,ASM4,3674
YDL087C,LUC7,327
YDL086W,YDL086W,2819
YDL086C-A,YDL086C-A,0
YDL085C-A,YDL085C-A,302
YDL085W,NDE2,95
YDL084W,SUB2,27307
YDL083C,RPS16B,30474
YDL082W,RPL13A,37953
YDL081C,RPP1A,40563
YDL080C,THI3,1837
YDL079C,MRK1,437
YDL078C,MDH3,4094
YDL077C,VAM6,1822
YDL076C,RXT3,1163
YDL075W,RPL31A,12856
snR63,snR63,43160
YDL074C,BRE1,3181
YDL073W,YDL073W,1722
YDL072C,YET3,2357
YDL071C,YDL071C,77
YDL070W,BDF2,3867
YDL069C,CBS1,209
YDL068W,YDL068W,5
YDL067C,COX9,1199
YDL066W,IDP1,23904
YDL065C,PEX19,446
YDL064W,UBC9,1016
YDL063C,YDL063C,2548
YDL062W,YDL062W,6
YDL061C,RPS29B,12857
YDL060W,TSR1,5801
YDL059C,RAD59,260
YDL058W,USO1,2803
YDL057W,YDL057W,334
YDL056W,MBP1,1558
YDL055C,PSA1,64118
tK(UUU)D,tK(UUU)D,27
YDL054C,MCH1,1542
YDL053C,PBP4,2499
YDL052C,SLC1,4521
YDL051W,LHP1,4450
YDL050C,YDL050C,17
YDL049C,KNH1,211
YDL048C,STP4,935
YDL047W,SIT4,4295
YDL046W,NPC2,7950
YDL045W-A,MRP10,708
YDL045C,FAD1,1183
YDL044C,MTF2,404
YDL043C,PRP11,421
YDL042C,SIR2,2110
YDL041W,YDL041W,0
YDL040C,NAT1,10265
YDL039C,PRM7,895
YDL037C,BSC1,360
YDL036C,PUS9,1589
YDL035C,GPR1,1573
YDL034W,YDL034W,24
YDL033C,SLM3,885
YDL032W,YDL032W,0
YDL031W,DBP10,4847
YDL030W,PRP9,599
YDL029W,ARP2,5857
YDL028C,MPS1,1477
YDL027C,YDL027C,996
YDL026W,YDL026W,3
YDL025C,RTK1,1435
YDL025W-A,YDL025W-A,0
YDL024C,DIA3,77
YDL022C-A,YDL022C-A,12
tA(AGC)D,tA(AGC)D,2
YDL023C,YDL023C,8
YDL022W,GPD1,3328
YDL021W,GPM2,54
YDL020C,RPN4,3387
YDL019C,OSH2,5278
YDL018C,ERP3,996
YDL017W,CDC7,590
YDL016C,YDL016C,672
YDL015C,TSC13,10082
YDL014W,NOP1,20927
YDL013W,SLX5,1242
YDL012C,YDL012C,3165
YDL011C,YDL011C,0
YDL010W,GRX6,139
YDL009C,YDL009C,95
YDL008W,APC11,1132
tT(AGU)D,tT(AGU)D,43
YDL007C-A,YDL007C-A,0
tS(AGA)D1,tS(AGA)D1,0
YDL007W,RPT2,4612
YDL006W,PTC1,731
YDL005C,MED2,1731
YDL004W,ATP16,3266
YDL003W,MCD1,2889
YDL002C,NHP10,491
YDL001W,RMD1,673
YDR001C,NTH1,3751
YDR002W,YRB1,9623
YDR003W,RCR2,413
YDR003W-A,YDR003W-A,310
YDR004W,RAD57,904
YDR005C,MAF1,1598
YDR006C,SOK1,4934
YDR007W,TRP1,310
YDR008C,YDR008C,0
YDR009W,GAL3,200
YDR010C,YDR010C,60
YDR011W,SNQ2,16237
YDR012W,RPL4B,67956
YDR013W,PSF1,481
YDR014W,RAD61,408
YDR014W-A,HED1,15
YDR015C,YDR015C,0
YDR016C,DAD1,722
YDR017C,KCS1,3695
YDR018C,YDR018C,82
YDR019C,GCV1,1559
YDR020C,DAS2,898
YDR021W,FAL1,618
YDR022C,CIS1,236
tV(UAC)D,tV(UAC)D,95
YDR023W,SES1,15711
YDR024W,FYV1,135
YDR025W,RPS11A,35272
YDR026C,YDR026C,864
YDR027C,VPS54,1896
YDR028C,REG1,4958
YDR029W,YDR029W,292
YDR030C,RAD28,234
YDR031W,MIC14,132
YDR032C,PST2,2607
YDR033W,MRH1,45617
YDR034C,LYS14,2259
YDR034C-D,YDR034C-D,621
YDR034C-C,YDR034C-C,0
tL(UAA)D,tL(UAA)D,9
YDR034C-A,YDR034C-A,5
tQ(UUG)D1,tQ(UUG)D1,8
YDR034W-B,YDR034W-B,25
YDR035W,ARO3,6873
YDR036C,EHD3,4383
YDR037W,KRS1,73833
YDR038C,ENA5,850
YDR039C,ENA2,0
YDR040C,ENA1,1147
YDR041W,RSM10,1863
YDR042C,YDR042C,190
snR47,snR47,412
YDR043C,NRG1,849
YDR044W,HEM13,2996
YDR045C,RPC11,520
YDR046C,BAP3,5240
YDR047W,HEM12,1371
YDR048C,YDR048C,1
YDR049W,VMS1,1290
YDR050C,TPI1,45485
YDR051C,DET1,867
YDR052C,DBF4,1895
YDR053W,YDR053W,3
YDR054C,CDC34,3822
YDR055W,PST1,9817
YDR056C,YDR056C,2096
YDR057W,YOS9,747
YDR058C,TGL2,183
tR(UCU)D,tR(UCU)D,0
tD(GUC)D,tD(GUC)D,0
YDR059C,UBC5,630
YDR060W,MAK21,13125
YDR061W,YDR061W,1689
YDR062W,LCB2,9405
YDR063W,AIM7,1409
YDR064W,RPS13,56926
YDR065W,RRG1,325
YDR066C,RTR2,398
YDR067C,OCA6,552
YDR068W,DOS2,368
YDR069C,DOA4,1295
YDR070C,FMP16,80
YDR071C,PAA1,4752
YDR072C,IPT1,5307
YDR073W,SNF11,1208
YDR074W,TPS2,4757
YDR075W,PPH3,808
YDR076W,RAD55,469
YDR077W,SED1,174883
YDR078C,SHU2,275
YDR079W,PET100,375
YDR079C-A,TFB5,70
YDR080W,VPS41,1367
YDR081C,PDC2,2241
YDR082W,STN1,246
YDR083W,RRP8,2090
YDR084C,TVP23,1420
YDR085C,AFR1,870
YDR086C,SSS1,3971
YDR087C,RRP1,1647
YDR088C,SLU7,261
tR(ACG)D,tR(ACG)D,17
YDR089W,YDR089W,3427
YDR090C,YDR090C,1164
YDR091C,RLI1,13274
YDR092W,UBC13,2300
YDR093W,DNF2,6064
YDR094W,YDR094W,0
YDR095C,YDR095C,7
YDR096W,GIS1,3013
YDR097C,MSH6,3226
YDR098C,GRX3,2982
tQ(UUG)D2,tQ(UUG)D2,1
YDR098C-B,YDR098C-B,13
YDR098C-A,YDR098C-A,0
YDR099W,BMH2,16947
YDR100W,TVP15,830
YDR101C,ARX1,8455
YDR102C,YDR102C,41
YDR103W,STE5,4076
YDR104C,SPO71,600
YDR105C,TMS1,1920
YDR106W,ARP10,71
tI(AAU)D,tI(AAU)D,6
YDR107C,TMN2,1045
YDR108W,GSG1,957
YDR109C,YDR109C,741
YDR110W,FOB1,1241
YDR111C,ALT2,652
YDR112W,IRC2,48
YDR113C,PDS1,1213
YDR114C,YDR114C,5
YDR115W,YDR115W,668
YDR116C,MRPL1,2285
YDR117C,TMA64,2125
YDR118W,APC4,546
YDR118W-A,YDR118W-A,26
YDR119W,VBA4,9752
YDR119W-A,YDR119W-A,88
YDR120C,TRM1,7679
YDR121W,DPB4,1105
YDR122W,KIN1,3834
YDR123C,INO2,1090
YDR124W,YDR124W,346
YDR125C,ECM18,325
YDR126W,SWF1,535
YDR127W,ARO1,27038
YDR128W,MTC5,2796
YDR129C,SAC6,16495
YDR130C,FIN1,500
YDR131C,YDR131C,673
YDR132C,YDR132C,820
YDR133C,YDR133C,11582
YDR135C,YCF1,19545
YDR136C,VPS61,4
YDR137W,RGP1,995
YDR138W,HPR1,1810
YDR139C,RUB1,1055
YDR140W,MTQ2,1358
YDR141C,DOP1,5926
YDR142C,PEX7,831
YDR143C,SAN1,4888
YDR144C,MKC7,10021
YDR145W,TAF12,3355
YDR146C,SWI5,3793
YDR147W,EKI1,1286
YDR148C,KGD2,6341
YDR149C,YDR149C,0
YDR150W,NUM1,6434
YDR151C,CTH1,2312
YDR152W,GIR2,2685
YDR153C,ENT5,3647
YDR154C,YDR154C,2713
YDR155C,CPR1,26990
YDR156W,RPA14,1632
YDR157W,YDR157W,103
YDR158W,HOM2,25261
YDR159W,SAC3,2179
YDR160W,SSY1,911
YDR161W,YDR161W,1950
YDR162C,NBP2,705
YDR163W,CWC15,302
YDR164C,SEC1,2986
YDR165W,TRM82,4222
YDR166C,SEC5,2792
YDR167W,TAF10,824
YDR168W,CDC37,2544
YDR169C,STB3,2413
YDR169C-A,YDR169C-A,30
YDR170C,SEC7,25074
tQ(UUG)D3,tQ(UUG)D3,3
YDR170W-A,YDR170W-A,804
YDR171W,HSP42,1615
YDR172W,SUP35,20380
YDR173C,ARG82,289
YDR174W,HMO1,3608
YDR175C,RSM24,691
YDR176W,NGG1,1170
YDR177W,UBC1,3510
YDR178W,SDH4,3082
YDR179C,CSN9,104
YDR179W-A,YDR179W-A,959
YDR180W,SCC2,2320
YDR181C,SAS4,586
YDR182W,CDC1,3841
YDR182W-A,YDR182W-A,47
YDR183W,PLP1,589
YDR183C-A,YDR183C-A,408
YDR184C,ATC1,1605
YDR185C,UPS3,312
YDR186C,YDR186C,4605
YDR187C,YDR187C,2
YDR188W,CCT6,8952
YDR189W,SLY1,5778
YDR190C,RVB1,5877
YDR191W,HST4,325
YDR192C,NUP42,845
YDR193W,YDR193W,3
YDR194C,MSS116,7254
YDR194W-A,YDR194W-A,0
YDR195W,REF2,1647
YDR196C,CAB5,430
